feed_type_code,feed_type_name,dry_yield,residue_dry_yield,main_n,residue_n,c_factor,kc_initial,kc_midseason,kc_late,n_fixation,category,trees_ha,trees_dhb,trees_growth,trees_removal,trees_ha_dbh25,average_dbh25,increase_dbh25,trees_ha_dbh2550,average_dbh2550,increase_dbh2550,trees_ha_dbh50,average_dbh50,increase_dbh50,time_horizon,diameter_breast
1,Andropogon gayanus,8.882191781,0,0.0104,0,0,0.3,0.75,0.75,0,grass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Avena sativa,0.352,2.64,0.0176,0,0,0.1,1.1,0.55,0,cereal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Avena sativa-forage,9.1,0,0.016,0,0,0.1,1.1,0.55,0,cereal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Beta vulgaris,10.45,2.75,0.0125,0,0,0.72,1.04,0.7,0,herbaceous plant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Brachiaria brizantha,15.64657534,0,0.0176,0,0,0.6,1.1,1.05,0,grass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Brachiaria hybrid,13.76438356,0,0.0224,0,0,0.6,1.1,1.05,0,grass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Canavalia brasiliensis,4,0,0.0352,0,0,0.15,1.1,0.25,70.4,legume,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Cassava,5.04,5.04,0.004,0,0.05,0,0,0,0,tree shrub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Cowpea,0.85405,2.967413131,0.038,0,0.117,0.15,1.05,0.6,50.35220101,legume,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Cratylia,12,0,0.0384,0,0,1.05,1.1,1.1,230.4,tree legume,400,18,2,0,0,0,0,0,0,0,0,0,0,0,0
11,Cynodon nlemfuensis,10,0,0.02,0,0,0.3,0.75,0.75,0,grass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Dichanthium aristatum,10,0,0.0128,0,0,0.3,0.75,0.75,0,grass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Fodder maize,1.064,1.344259298,0.017,0,0.05,0.15,1.15,0.3,0,cereal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Fustuca arundinacea,12.6,0,0.014,0,0,0.3,0.75,0.75,0,grass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Gliricidia,5,0,0.0356,0,0,1.05,1.1,1.1,89,tree legume,3000,18,2,0,0,0,0,0,0,0,0,0,0,0,0
16,Glycine max,3.1045,0,0.064,0,0,0.15,1.15,0.6,99.344,legume,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Groundnut,1.159,2.792748276,0.037,0,0.117,0.15,1.15,0.6,38.19798966,legume,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Guava,0,0,0.002,0,0.146,1.05,1.1,1.1,0,tree crop,25,20,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Guazuma ulmifolia,17,0,0.024,0,0,1.05,1.1,1.1,204,tree legume,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Hedysarum coronarium,5,0,0.032,0,0,0.15,1.1,0.25,80,legume,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Hordeum vulgare (forage),6.8,0,0.0072,0,0,0.1,1.1,0.55,0,cereal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Hordeum vulgare (grain),0.609,1.584,0.01888,0,0,0.1,1.1,0.55,0,cereal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Hordeum vulgare (IP),4.35,1.584,0.01888,0,0,0.1,1.1,0.55,0,cereal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Hyparrhenia rufa,10.1369863,0,0.01,0,0,0.3,0.75,0.75,0,grass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Ischaemum ciliare,8,0,0.01,0,0,0.3,0.75,0.75,0,grass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Lablab,1.62184,1.6478263,0.004,0,0,0.15,1.1,0.25,36.200206,legume,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Leucaena,14,0,0.034,0,0,1.05,1.1,1.1,238,tree legume,400,18,3,0,0,0,0,0,0,0,0,0,0,0,0
28,Lolium multiflorum,11.4,0,0.012,0,0,0.3,0.75,0.75,0,grass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Maize,8.6,3,0.017,0,0.05,0.15,1.15,0.3,0,cereal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Maize IP,8.6,3,0.017,0,0.05,0.15,1.15,0.3,0,cereal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Maize-silage,18,0,0.007,0,0.05,0.15,1.15,0.3,0,cereal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Medicago sativa,12,0,0.032,0,0,0.15,1.1,0.25,192,legume,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Moringa oleifera,20,0,0.038,0,0,1.05,1.1,1.1,380,tree legume,80000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Musa spp.,5,1.6,0.008,0,0,0.15,1.2,0.7,0,tree crop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Natural pasture,10,0,0.01,0,0.027,0.3,0.75,0.75,0,grass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Natural trees,0,0,0.005,0,0.73,1.05,1.1,1.1,0,tree crop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Panicum maximum,17.01917808,0,0.0192,0,0,0.6,1.1,1.05,0,grass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Paspalum notatum,6.882191781,0,0.016,0,0,0.3,0.75,0.75,0,grass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Pennisetum purpureum,6,0,0.023,0,0.027,0.6,1.1,1.05,0,grass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Pennisetum purpureum-silage,6,0,0.01,0,0,1,1,1,0,grass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Pigeon pea,0.85785,2.417508846,0.035,0,0.116,0,0,0,36.76995462,tree legume,5000,10,25,0,0,0,0,0,0,0,0,0,0,0,0
43,Purchased,0,0,0,0,0,0,0,0,0,cereal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Red pepper,0.624,0.067513333,0.009,0,0.1,0,0,0,0,herbaceous plant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Rice,1.6,2.405895238,0.009,0,0,1.05,1.2,0.75,0,cereal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Sorghum bicolor (grain),3.999,8.7892,0.02,0,0.05,0.1,1.1,0.55,0,cereal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Sorghum bicolor (forage/silage),13.5,0,0.006,0,0,0.1,1.1,0.55,0,cereal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Sugarcane,11,1.384336134,0.001,0,0.171,0.15,1.2,0.7,0,grass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Swazi,15,0,0.016,0,0,0.3,0.75,0.75,0,grass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Trifolium alexandrinum,4.95,0,0.0416,0,0,0.15,1.1,0.25,102.96,legume,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Triticum,1.566,2.002,0.0202,0,0,0.1,1.1,0.55,0,cereal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Triticum OF,1.566,0.1584,0.0202,0,0,0.1,1.1,0.55,0,cereal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Triticum IP,4.35,5.377777778,0.0202,0,0,0.1,1.1,0.55,0,cereal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Vicia faba (grain),1.74,1.8,0.046,0,0,0.15,1.1,0.25,50.82,legume,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Tripsacum andersonii  ,0.22,0.72,0.014,0,0,0.7,1.1,0.85,0,grass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Desmodium intoturm,0.852,0.383,0.02,0,0,0.6,1.1,0.85,90,legume,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Lupinus angustifolius,0.2,0.25,0.0235,0,0,0.5,1.1,1.05,255,legume,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Mucuna pruriens,0.902,0.625,0.016,0,0,0.5,1.1,0.8,252,legume,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Morus alba,0.502,0.5,0.03,0,0,0.4,0.8,0.5,0,tree crop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Dactylis glomerata,0,0,0,0,0,0.5,1.2,0.9,0,grass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Bauhinia variegata,0,0,0,0,0,0.5,0.8,0.8,0,tree legume,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Pennisetum glaucum,6,1.89,0.02,0,0,0.4,1.2,0.8,0,grass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Pennisetum glaucum forage,6,1.89,0.02,0,0,0.4,1.2,0.8,0,grass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Ananas comosus,60,0,0.0145,0,0,0.5,1.2,0.7,0,herbaceous plant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Solanum tuberosum,20,0.2,0.015,0,0,0.5,1.2,0.7,0,Tuber,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Cucurbita maxima,0,0,0,0,0,0.6,1,0.8,0,herbaceous plant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Trifolium pratense,2.3,0.3,0.02,0,0,0.5,1.1,0.7,60,legume,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Chloris gayana,5,5,0.02,0,0,0.4,1.1,0.8,0,grass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Sesbania sesban,6,0.3,0.03,0,0,0.6,1.2,0.8,83,legume,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Bromus inermis,20.6,0,0.0145,0,0,0.4,1,0.7,0,grass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Stipa,0,0,0,0,0,0.5,1,0.7,0,grass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,Stylosanthes guianensis,20,0.3,0.0056,0,0,0.5,1.1,0.7,,legume,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Ipomoea batatas,25,0.3,0.0032,0,0,0.6,1.1,0.7,0,herbaceous plant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,Lycopersicon esculentum,0,0,0.0145,0,0,0.6,1.1,0.7,0,herbaceous plant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,Melilotus alba,2.5,0.5,0.016,0,0,0.5,1,0.8,12.58,legume,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
